source,issue_area,issue,issue_stance,stance_partisanship
YouGov,Housing and Planning,Planning permission,"The U.K. should streamline planning permission processes to accelerate housing development, even if this reduces local authorities' control over land use decisions.",Conservative
YouGov,Climate Change and Environment,Plastic,"The U.K. should implement a nationwide ban on single-use plastics, even if this increases costs for businesses and consumers.",Labour
YouGov,Climate Change and Environment,Plastics recycling,"The U.K. should implement a nationwide deposit return scheme for plastic bottles, even if it requires significant investment from beverage companies.",Labour
YouGov,Criminal Justice and Law Enforcement,Police,"The U.K. should increase funding for community policing initiatives, even if it requires reallocating resources from other areas of the police budget.",Labour
YouGov,Criminal Justice and Law Enforcement,Police and Emergency Services,"The U.K. should increase funding for police recruitment and training, even if this requires reallocating resources from other public services.",Conservative
YouGov,Criminal Justice and Law Enforcement,Policing,"The U.K. should increase police funding to enhance community safety, even if it requires reallocating resources from other public services.",Conservative
YouGov,Civil Rights,Political Activism,"The U.K. should implement stricter regulations on protests to ensure public safety and minimize disruption, even if this limits the frequency and scale of demonstrations.",Conservative
YouGov,Democratic Institutions,Political Behaviour,"The U.K. should implement voter ID requirements for elections, even if this might reduce turnout among certain demographics.",Conservative
YouGov,Civil Rights,Political correctness,"The U.K. should implement stricter regulations on hate speech to promote a more inclusive society, even if it limits some forms of free expression.",Labour
YouGov,Democratic Institutions,Political Parties,"The U.K. should implement voter ID requirements to ensure election integrity, even if this may reduce voter turnout among certain demographics.",Conservative
YouGov,Democratic Institutions,Political Systems,"The U.K. should implement a proportional representation voting system, even if it complicates the formation of stable governments.",Labour
YouGov,Democratic Institutions,Politicians,"The U.K. should implement stricter regulations on lobbying activities by politicians, even if it limits the influence of certain industries.",Labour
YouGov,Immigration,Politics and Political Science,"The U.K. should implement stricter immigration controls, even if this results in labor shortages in certain sectors.",Conservative
YouGov,Foreign Policy,Politics in the European Union,"The U.K. should seek a closer trade relationship with the European Union, even if this requires aligning with some EU regulations.",Labour
YouGov,Foreign Policy,Politics in the Middle East,"The U.K. should increase diplomatic engagement with Middle Eastern countries to promote regional stability, even if this requires reallocating resources from other foreign policy priorities.",Neutral/Bipartisan
YouGov,Climate Change and Environment,Pollution,"The U.K. should increase investment in renewable energy infrastructure to reduce air pollution, even if it requires higher taxes to fund the projects.",Labour
YouGov,Taxes and Government Spending,Population,"The U.K. should implement policies to encourage higher birth rates to address an aging population, even if this requires increased government spending on family support programs.",Neutral/Bipartisan
YouGov,Climate Change and Environment,Poultry Farming,"The U.K. should implement stricter welfare standards for poultry farming, even if this increases the cost of poultry products.",Labour
YouGov,Economy and Jobs,Poverty,"The U.K. should increase investment in job training programs for unemployed individuals, even if it requires reallocating funds from other social services.",Labour
YouGov,Healthcare,Pregnancy,"The U.K. should increase funding for maternal mental health services, even if it requires reallocating resources from other healthcare areas.",Labour
YouGov,Foreign Policy,President of France,"The U.K. should strengthen diplomatic ties with France to enhance economic cooperation, even if this requires compromising on certain trade disputes.",Neutral/Bipartisan
YouGov,Foreign Policy,President of the United States,"The U.K. should strengthen its trade relations with the United States, even if this requires compromising on certain regulatory standards.",Conservative
YouGov,Taxes and Government Spending,"Prince Andrew, Duke of York","The U.K. should reduce public funding for royal family activities, even if this affects the visibility and ceremonial functions of the monarchy.",Labour
YouGov,Democratic Institutions,Print Media,"The U.K. should implement stricter regulations on the ownership of print media by large conglomerates, even if this limits the growth potential of some media companies.",Labour
YouGov,Criminal Justice and Law Enforcement,Prison,"The U.K. should increase funding for rehabilitation programs in prisons, even if this requires reallocating resources from other areas of the criminal justice system.",Labour
YouGov,Healthcare,Private Healthcare,"The U.K. should integrate private healthcare providers into the NHS to reduce waiting times, even if this requires increased public funding for partnerships.",Conservative
YouGov,Education,Private Schools,"The U.K. should maintain charitable status for private schools, even if this means they continue to benefit from tax exemptions.",Conservative
YouGov,Economy and Jobs,Privatisation,"The U.K. should privatise more public services to increase efficiency, even if this leads to reduced government oversight.",Conservative
YouGov,Housing and Planning,Property,"The U.K. should incentivize home ownership through tax breaks and subsidies, even if this reduces funds available for public housing projects.",Conservative
YouGov,Criminal Justice and Law Enforcement,Prostitution,"The U.K. should decriminalize the selling of sex, even if this requires significant changes to current law enforcement practices.",Labour
YouGov,Healthcare,Psychedelic drugs,"The U.K. should legalize psychedelic drugs for medical research purposes, even if this requires significant regulatory changes.",Neutral/Bipartisan
YouGov,Technology and Digital,Public Figures,"The U.K. should implement stricter regulations on public figures' use of social media to prevent misinformation, even if this restricts their freedom of expression.",Labour
YouGov,Energy and Utilities,Public Opinion,"The U.K. should increase investment in nuclear energy, even if it means diverting funds from renewable energy sources.",Conservative
YouGov,Criminal Justice and Law Enforcement,Public Security,"The U.K. should increase funding for local police forces to enhance community safety, even if it requires reallocating resources from other public services.",Conservative
YouGov,Taxes and Government Spending,Public Spending,"The U.K. should increase public spending on infrastructure projects, even if this requires higher taxes in the short term.",Labour
YouGov,Transport,Quality,"The U.K. should allocate more funding to improve the quality of public transport infrastructure, even if it requires increasing taxes.",Labour
YouGov,Civil Rights,Queen Elizabeth II,"The U.K. should maintain the tradition of a public holiday to commemorate Queen Elizabeth II, even if it results in economic disruptions.",Neutral/Bipartisan
YouGov,Civil Rights,Race & Ethnicity,"The U.K. should implement mandatory ethnic diversity quotas in corporate boardrooms, even if this requires legislative changes to existing corporate governance laws.",Labour
YouGov,Civil Rights,Race Relations,"The U.K. should implement mandatory diversity training in all public sector workplaces, even if it requires additional funding and resources.",Labour
YouGov,Education,Racial inequality,"The U.K. should implement targeted educational programs to address racial disparities in academic achievement, even if it requires reallocating funds from other educational initiatives.",Labour
YouGov,Civil Rights,Racism,"The U.K. should implement mandatory diversity training in all public sector workplaces, even if it requires additional funding and resources.",Labour
YouGov,Taxes and Government Spending,Radio Broadcasting,"The U.K. should privatize parts of the BBC to reduce the burden on taxpayers, even if this results in less public service content.",Conservative
YouGov,Technology and Digital,Radio Programming,"The U.K. should increase funding for local radio stations to preserve regional diversity in programming, even if it requires reallocating resources from national broadcasting services.",Neutral/Bipartisan
YouGov,Transport,Railway and Road Transport,"The U.K. should prioritize investment in railway infrastructure over road expansion, even if this results in higher taxes for motorists.",Labour
YouGov,Criminal Justice and Law Enforcement,Rape,"The U.K. should increase funding for specialized training of police officers in handling rape cases, even if it requires reallocating resources from other areas of law enforcement.",Labour
YouGov,Climate Change and Environment,Recycling,"The U.K. should implement stricter regulations on single-use plastics, even if this increases costs for businesses.",Labour
YouGov,Immigration,Refugee Issues,"The U.K. should increase the number of refugees it accepts annually, even if this requires additional public expenditure on housing and integration services.",Labour
YouGov,Taxes and Government Spending,Regional Newspapers,"The U.K. should provide financial support to regional newspapers to ensure their survival, even if it requires reallocating funds from other public services.",Labour
YouGov,Energy and Utilities,Renewable Energy,"The U.K. should increase investment in offshore wind farms, even if this requires higher subsidies from taxpayers.",Labour
YouGov,Taxes and Government Spending,Retailing,"The U.K. should lower business rates for small independent retailers, even if this reduces local council revenues.",Neutral/Bipartisan
YouGov,Energy and Utilities,Rishi Sunak,"The U.K. should increase funding for nuclear energy development, even if this requires reallocating resources from renewable energy projects.",Conservative
YouGov,Climate Change and Environment,Rivers and Waterways,"The U.K. should increase investment in river and waterway restoration projects, even if it requires reallocating funds from other infrastructure projects.",Labour
YouGov,Technology and Digital,Robotics,"The U.K. should implement regulations on the use of robotics in the workplace to protect jobs, even if this slows technological advancement.",Labour
YouGov,Climate Change and Environment,Sadiq Khan,"The U.K. should implement a nationwide expansion of London's Ultra Low Emission Zone (ULEZ), even if it imposes additional costs on drivers of older vehicles.",Labour
YouGov,Education,School Governance,"The U.K. should increase funding for state schools to improve educational outcomes, even if it requires reallocating resources from other public services.",Labour
YouGov,Technology and Digital,Scientific Research and Development,"The U.K. should increase government funding for scientific research and development, even if this requires reallocating resources from other public services.",Neutral/Bipartisan
YouGov,National Security and Defence,Security & Surveillance,"The U.K. should increase funding for cybersecurity measures, even if it requires reallocating resources from other public services.",Neutral/Bipartisan
YouGov,Criminal Justice and Law Enforcement,Sentencing,"The U.K. should implement stricter sentencing for repeat offenders, even if this leads to an increase in the prison population.",Conservative
YouGov,Education,Sex education,"The U.K. should mandate comprehensive sex education in all schools, even if it challenges traditional values held by some communities.",Labour
YouGov,Civil Rights,Sexism,"The U.K. should implement mandatory gender diversity reporting for all companies with over 250 employees, even if it increases administrative burdens on businesses.",Labour
YouGov,Education,Sexual Assault & Sexual Harrassment,"The U.K. should implement mandatory consent education in schools, even if it requires additional funding and curriculum adjustments.",Labour
YouGov,Education,Sexual Health,"The U.K. should increase funding for comprehensive sexual health education in schools, even if it requires reallocating resources from other educational programs.",Labour
YouGov,Taxes and Government Spending,Social Care,"The U.K. should implement a cap on social care spending to ensure fiscal responsibility, even if this limits the availability of services for some individuals.",Conservative
YouGov,Healthcare,Social Care for the Elderly and Disabled,"The U.K. should increase funding for social care services for the elderly and disabled, even if it requires raising taxes.",Labour
YouGov,Healthcare,Social care law,"The U.K. should increase funding for social care services, even if it requires raising taxes to do so.",Labour
YouGov,Healthcare,Social Care Services,"The U.K. should increase funding for social care services to ensure adequate staffing and resources, even if this requires raising taxes.",Labour
YouGov,Immigration,Social Change,"The U.K. should strengthen its immigration controls to prioritize skilled workers, even if this results in fewer asylum seekers being accepted.",Conservative
YouGov,Education,Social Class,"The U.K. should implement policies to increase social mobility through education and training opportunities, even if this requires increased government spending.",Labour
YouGov,Immigration,Social dynamics,"The U.K. should implement stricter immigration controls, even if this results in labor shortages in certain sectors.",Conservative
YouGov,Healthcare,Social Issues,"The U.K. should increase funding for mental health services, even if it requires reallocating resources from other healthcare areas.",Labour
YouGov,Taxes and Government Spending,Social Justice,"The U.K. should maintain the two-child benefit cap to encourage responsible family planning, even if it limits financial support for larger families.",Conservative
YouGov,Education,Social mobility,"The U.K. should increase funding for vocational training and apprenticeships to enhance social mobility, even if this requires reallocating resources from traditional academic education.",Neutral/Bipartisan
YouGov,Taxes and Government Spending,Social Security/National Insurance and Unemployment,"The U.K. should increase National Insurance contributions to fund higher unemployment benefits, even if this places a greater financial burden on working individuals.",Labour
YouGov,Taxes and Government Spending,Social Welfare,"The U.K. should implement stricter eligibility criteria for social welfare benefits, even if this results in fewer people receiving assistance.",Conservative
YouGov,Healthcare,Social Work and Elderly Care,"The U.K. should increase funding for social work and elderly care services, even if it requires reallocating resources from other public sectors.",Labour
YouGov,Economy and Jobs,Socialising,"The U.K. should extend pub opening hours to support the hospitality industry, even if it leads to increased noise complaints in residential areas.",Neutral/Bipartisan
YouGov,Education,Software Programming and Development,"The U.K. should increase funding for computer science education in schools to address the skills gap in software development, even if this requires reallocating resources from other subjects.",Neutral/Bipartisan
YouGov,Energy and Utilities,Solar Energy,"The U.K. should increase investment in solar energy infrastructure, even if it requires reallocating funds from other renewable energy projects.",Labour
YouGov,Technology and Digital,Space,"The U.K. should increase funding for domestic space exploration initiatives, even if this requires reallocating resources from other scientific research areas.",Neutral/Bipartisan
YouGov,Economy and Jobs,Stock Exchange,"The U.K. should implement stricter regulations on high-frequency trading in the Stock Exchange, even if this reduces market liquidity.",Labour
YouGov,Education,Student Finance,"The U.K. should lower the interest rates on student loans, even if this reduces the revenue generated for higher education funding.",Labour
YouGov,Housing and Planning,Student Housing,"The U.K. should incentivize the construction of more affordable student housing, even if this requires relaxing certain planning regulations.",Labour
YouGov,Economy and Jobs,Supermarket Retail,"The U.K. should implement stricter regulations on supermarket pricing to prevent price gouging, even if this results in increased operational costs for retailers.",Labour
YouGov,Economy and Jobs,Supply Chain,"The U.K. should invest in domestic manufacturing capabilities to reduce reliance on international supply chains, even if this requires significant government subsidies.",Neutral/Bipartisan
YouGov,National Security and Defence,Surveillance,"The U.K. should expand its surveillance capabilities to enhance national security, even if this involves increased monitoring of public communications.",Conservative
YouGov,Taxes and Government Spending,Survey Methodology,"The U.K. should increase funding for national statistical surveys to improve data accuracy and reliability, even if this requires reallocating resources from other public services.",Neutral/Bipartisan
YouGov,Climate Change and Environment,Sustainability,"The U.K. should prioritize investment in renewable energy infrastructure, even if it requires increased government spending.",Labour
YouGov,Taxes and Government Spending,Tax & Spending,"The U.K. should lower the corporate tax rate to stimulate business investment, even if it results in reduced short-term government revenue.",Conservative
YouGov,Taxes and Government Spending,Tax avoidance and tax evasion,"The U.K. should tighten regulations on tax avoidance schemes used by corporations, even if it discourages some businesses from operating in the country.",Labour
YouGov,Taxes and Government Spending,Taxation,"The U.K. should lower the corporate tax rate to attract more business investment, even if this reduces government revenue in the short term.",Conservative
YouGov,Technology and Digital,Television Broadcasting,"The U.K. should privatize Channel 4 to encourage competition and innovation in the broadcasting sector, even if this reduces the diversity of programming available to viewers.",Conservative
YouGov,Healthcare,Terminal Illness,"The U.K. should increase funding for palliative care services for terminally ill patients, even if it requires reallocating resources from other healthcare areas.",Neutral/Bipartisan
YouGov,National Security and Defence,Terrorism & Extremism,"The U.K. should increase funding for community-based de-radicalization programs, even if this requires reallocating resources from other areas of national security.",Labour
YouGov,Economy and Jobs,Textiles and Clothes Manufacturing,"The U.K. should implement tariffs on imported textiles to protect domestic manufacturing, even if this increases the cost of clothing for consumers.",Conservative
YouGov,Energy and Utilities,Tony Blair,"The U.K. should increase investment in nuclear energy as part of its energy strategy, even if this requires significant upfront costs and long-term commitments.",Neutral/Bipartisan
YouGov,Economy and Jobs,Trade Unions,"The U.K. should require trade unions to hold a secret ballot before calling a strike, even if this makes it more challenging for workers to organize industrial action.",Conservative
YouGov,Economy and Jobs,Trade Unions,"The U.K. should require Trade Unions to hold a minimum 50% turnout in strike ballots for industrial action to be valid, even if this makes it harder for unions to organize strikes.",Conservative
YouGov,Housing and Planning,Tradition,"The U.K. should preserve traditional rural landscapes by restricting new housing developments in these areas, even if this limits housing availability and increases prices.",Conservative
YouGov,Civil Rights,Transgender,"The U.K. should allow transgender individuals to self-identify their gender on official documents, even if this requires changes to existing legal frameworks.",Labour
YouGov,Transport,Transport,"The U.K. should expand its high-speed rail network to improve connectivity between major cities, even if this requires significant public funding and long-term investment.",Labour
YouGov,Climate Change and Environment,Trees,"The U.K. should increase funding for urban tree planting initiatives, even if this requires reallocating resources from other environmental projects.",Neutral/Bipartisan
YouGov,Taxes and Government Spending,UK Economic Policy,"The U.K. should prioritize reducing the national debt through spending cuts, even if this results in reduced funding for public services.",Conservative
YouGov,National Security and Defence,UK Foreign Policy,"The U.K. should increase its defense spending to meet NATO's target of 2% of GDP, even if this requires cuts in other public services.",Conservative
YouGov,Housing and Planning,Urban Planning,"The U.K. should prioritize the construction of high-density housing developments in urban areas, even if this reduces the amount of available green space.",Labour
YouGov,Healthcare,Virus,"The U.K. should prioritize investment in domestic vaccine production capabilities, even if it requires reallocating funds from other healthcare areas.",Neutral/Bipartisan
YouGov,Foreign Policy,Vladimir Putin,"The U.K. should maintain economic sanctions against Russia, even if this impacts British businesses trading with Russian markets.",Neutral/Bipartisan
YouGov,Education,Vocational Education,"The U.K. should increase funding for vocational education programs, even if it requires reallocating resources from traditional academic pathways.",Neutral/Bipartisan
YouGov,Democratic Institutions,Voting Intention,"The U.K. should implement a voter ID requirement for elections, even if it could potentially reduce turnout among certain demographics.",Conservative
YouGov,National Security and Defence,War & Military,"The U.K. should increase its defense budget to strengthen national security, even if this requires reallocating funds from other public services.",Conservative
YouGov,National Security and Defence,War Crimes,"The U.K. should increase funding for investigations into war crimes, even if this requires reallocating resources from other areas of the defense budget.",Labour
YouGov,Climate Change and Environment,Waste Disposal,"The U.K. should implement stricter regulations on plastic waste disposal, even if this increases costs for businesses.",Labour
YouGov,Taxes and Government Spending,Wealth Tax,"The U.K. should implement a wealth tax on the highest earners, even if it may lead to capital flight and reduced investment.",Labour
YouGov,Climate Change and Environment,Weather,"The U.K. should invest in advanced weather prediction technology to better prepare for extreme weather events, even if this requires significant government funding.",Neutral/Bipartisan
YouGov,Healthcare,Weight,"The U.K. should implement stricter regulations on junk food advertising to combat obesity, even if it impacts the revenue of advertising companies.",Labour
YouGov,Taxes and Government Spending,Welfare & Benefits,"The U.K. should implement stricter eligibility criteria for welfare benefits, even if this reduces the number of people receiving support.",Conservative
YouGov,Education,Western Religion,"The U.K. should ensure that religious education in schools includes teachings about Western religions, even if this requires additional curriculum time and resources.",Neutral/Bipartisan
YouGov,Climate Change and Environment,Wildlife,"The U.K. should increase funding for wildlife conservation programs, even if this requires reallocating resources from other environmental initiatives.",Neutral/Bipartisan
YouGov,Climate Change and Environment,Wind power,"The U.K. should expand investment in offshore wind farms, even if this requires significant government subsidies.",Labour
YouGov,Climate Change and Environment,Wind Turbine,"The U.K. should expand wind turbine installations to increase renewable energy production, even if this requires significant investment in new infrastructure.",Labour
YouGov,Economy and Jobs,Women,"The U.K. should mandate equal pay audits for large companies, even if this increases administrative burdens on businesses.",Labour
YouGov,Healthcare,Women's Health,"The U.K. should increase funding for women's mental health services, even if it requires reallocating resources from other healthcare areas.",Labour
YouGov,Civil Rights,Women's Issues,"The U.K. should implement mandatory gender pay gap reporting for all companies with over 50 employees, even if it increases administrative burdens on small businesses.",Labour
YouGov,Education,Working Class,"The U.K. should increase investment in vocational training programs for the working class, even if it requires reallocating funds from other educational initiatives.",Neutral/Bipartisan
YouGov,Economy and Jobs,Working life,"The U.K. should implement a four-day workweek to improve work-life balance, even if it requires adjustments in productivity expectations.",Labour
YouGov,Criminal Justice and Law Enforcement,Workplace bullying,"The U.K. should implement stricter penalties for workplace bullying, even if this increases administrative burdens for businesses.",Labour
YouGov,Foreign Policy,World Health Organization,"The U.K. should maintain its financial contributions to the World Health Organization, even if this requires reallocating funds from other international aid programs.",Labour
